Datum;DeltaAnzahlVortag;DeltaGeheiltVortag;DeltaTotVortag;DeltaAktivVortag;DeltaTestGesamtVortag
26.02.2020 00:00:00;1;0;0;1;0
27.02.2020 00:00:00;2;0;0;2;0
28.02.2020 00:00:00;4;0;0;4;0
29.02.2020 00:00:00;1;0;0;1;0
01.03.2020 00:00:00;4;0;0;4;0
02.03.2020 00:00:00;5;0;0;5;0
03.03.2020 00:00:00;6;0;0;6;0
04.03.2020 00:00:00;14;0;0;14;0
05.03.2020 00:00:00;9;2;0;7;0
06.03.2020 00:00:00;29;0;0;29;0
07.03.2020 00:00:00;23;0;0;23;0
08.03.2020 00:00:00;28;0;0;28;0
09.03.2020 00:00:00;22;0;0;22;0
10.03.2020 00:00:00;55;1;0;54;0
11.03.2020 00:00:00;108;1;0;107;0
12.03.2020 00:00:00;96;3;1;92;0
13.03.2020 00:00:00;181;0;0;181;0
14.03.2020 00:00:00;183;3;1;179;0
15.03.2020 00:00:00;170;4;1;165;0
16.03.2020 00:00:00;35;11;3;21;0
17.03.2020 00:00:00;40;2;1;37;0
18.03.2020 00:00:00;29;2;3;24;0
19.03.2020 00:00:00;34;4;2;28;0
20.03.2020 00:00:00;53;5;3;45;0
21.03.2020 00:00:00;82;9;2;71;0
22.03.2020 00:00:00;74;9;4;61;0
23.03.2020 00:00:00;553;51;8;494;0
24.03.2020 00:00:00;645;67;8;570;0
25.03.2020 00:00:00;668;67;6;595;0
26.03.2020 00:00:00;1008;92;9;907;0
27.03.2020 00:00:00;784;157;13;614;0
28.03.2020 00:00:00;611;112;12;487;0
29.03.2020 00:00:00;544;116;13;415;0
30.03.2020 00:00:00;664;161;19;484;0
31.03.2020 00:00:00;547;153;15;379;0
01.04.2020 00:00:00;546;130;11;405;16834
02.04.2020 00:00:00;433;176;18;239;75356
03.04.2020 00:00:00;409;242;16;151;6153
04.04.2020 00:00:00;248;299;18;-69;5791
05.04.2020 00:00:00;183;205;20;-42;4282
06.04.2020 00:00:00;303;465;28;-190;2880
07.04.2020 00:00:00;288;364;26;-102;3939
08.04.2020 00:00:00;287;502;16;-231;5520
09.04.2020 00:00:00;276;497;22;-243;5532
10.04.2020 00:00:00;357;533;21;-197;8456
11.04.2020 00:00:00;203;364;17;-178;6232
12.04.2020 00:00:00;111;289;11;-189;3902
13.04.2020 00:00:00;87;285;21;-219;3535
14.04.2020 00:00:00;149;490;12;-353;3384
15.04.2020 00:00:00;128;449;16;-337;5005
16.04.2020 00:00:00;112;408;21;-317;6015
