Datum;DeltaAnzahlVortag;DeltaGeheiltVortag;DeltaTotVortag;DeltaAktivVortag;DeltaTestGesamtVortag
26.02.2020 00:00:00;1;0;0;1;0
27.02.2020 00:00:00;2;0;0;2;0
28.02.2020 00:00:00;4;0;0;4;0
29.02.2020 00:00:00;1;0;0;1;0
01.03.2020 00:00:00;4;0;0;4;0
02.03.2020 00:00:00;5;0;0;5;0
03.03.2020 00:00:00;6;0;0;6;0
04.03.2020 00:00:00;14;0;0;14;0
05.03.2020 00:00:00;9;2;0;7;0
06.03.2020 00:00:00;29;0;0;29;0
07.03.2020 00:00:00;23;0;0;23;0
08.03.2020 00:00:00;28;0;0;28;0
09.03.2020 00:00:00;22;0;0;22;0
10.03.2020 00:00:00;55;1;0;54;0
11.03.2020 00:00:00;109;1;0;108;0
12.03.2020 00:00:00;97;3;1;93;0
13.03.2020 00:00:00;182;0;0;182;0
14.03.2020 00:00:00;210;3;1;206;0
15.03.2020 00:00:00;198;4;1;193;0
16.03.2020 00:00:00;226;12;3;211;0
17.03.2020 00:00:00;346;2;1;343;0
18.03.2020 00:00:00;372;2;5;365;0
19.03.2020 00:00:00;455;4;3;448;0
20.03.2020 00:00:00;509;10;5;494;0
21.03.2020 00:00:00;548;11;6;531;0
22.03.2020 00:00:00;618;18;7;593;0
23.03.2020 00:00:00;687;57;12;618;0
24.03.2020 00:00:00;723;91;10;622;0
25.03.2020 00:00:00;754;97;9;648;0
26.03.2020 00:00:00;1056;158;16;882;0
27.03.2020 00:00:00;807;221;20;566;0
28.03.2020 00:00:00;617;195;18;404;0
29.03.2020 00:00:00;547;251;16;280;0
30.03.2020 00:00:00;673;367;22;284;0
31.03.2020 00:00:00;550;373;18;159;0
01.04.2020 00:00:00;548;339;11;198;16834
02.04.2020 00:00:00;438;380;20;38;75356
03.04.2020 00:00:00;411;481;18;-88;6153
04.04.2020 00:00:00;253;544;20;-311;5791
05.04.2020 00:00:00;183;345;23;-185;4282
06.04.2020 00:00:00;306;711;30;-435;2880
07.04.2020 00:00:00;289;513;30;-254;3939
08.04.2020 00:00:00;290;602;16;-328;5520
09.04.2020 00:00:00;276;595;22;-341;5532
10.04.2020 00:00:00;357;631;23;-297;8456
11.04.2020 00:00:00;203;401;17;-215;6232
12.04.2020 00:00:00;111;312;12;-213;3902
13.04.2020 00:00:00;87;305;21;-239;3535
14.04.2020 00:00:00;150;553;13;-416;3384
15.04.2020 00:00:00;129;484;16;-371;5005
16.04.2020 00:00:00;112;448;23;-359;6015
