date;state_id;state_name;age_group;gender;vaccine;dose_number;doses_administered_cumulative
2022-10-13T23:59:59+02:00;0;NoState;00-11;Female;AstraZeneca;1;1
2022-10-13T23:59:59+02:00;0;NoState;00-11;Male;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;00-11;NonBinary;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;00-11;NotAssigned;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;12-14;Female;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;12-14;Male;AstraZeneca;1;1
2022-10-13T23:59:59+02:00;0;NoState;12-14;NonBinary;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;12-14;NotAssigned;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;15-24;Female;AstraZeneca;1;396
2022-10-13T23:59:59+02:00;0;NoState;15-24;Male;AstraZeneca;1;324
2022-10-13T23:59:59+02:00;0;NoState;15-24;NonBinary;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;15-24;NotAssigned;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;25-34;Female;AstraZeneca;1;864
2022-10-13T23:59:59+02:00;0;NoState;25-34;Male;AstraZeneca;1;944
2022-10-13T23:59:59+02:00;0;NoState;25-34;NonBinary;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;25-34;NotAssigned;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;35-44;Female;AstraZeneca;1;1026
2022-10-13T23:59:59+02:00;0;NoState;35-44;Male;AstraZeneca;1;944
2022-10-13T23:59:59+02:00;0;NoState;35-44;NonBinary;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;35-44;NotAssigned;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;45-54;Female;AstraZeneca;1;1612
2022-10-13T23:59:59+02:00;0;NoState;45-54;Male;AstraZeneca;1;925
2022-10-13T23:59:59+02:00;0;NoState;45-54;NonBinary;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;45-54;NotAssigned;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;55-64;Female;AstraZeneca;1;1412
2022-10-13T23:59:59+02:00;0;NoState;55-64;Male;AstraZeneca;1;859
2022-10-13T23:59:59+02:00;0;NoState;55-64;NonBinary;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;55-64;NotAssigned;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;65-74;Female;AstraZeneca;1;582
2022-10-13T23:59:59+02:00;0;NoState;65-74;Male;AstraZeneca;1;561
2022-10-13T23:59:59+02:00;0;NoState;65-74;NonBinary;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;65-74;NotAssigned;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;75-84;Female;AstraZeneca;1;333
2022-10-13T23:59:59+02:00;0;NoState;75-84;Male;AstraZeneca;1;327
2022-10-13T23:59:59+02:00;0;NoState;75-84;NonBinary;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;75-84;NotAssigned;AstraZeneca;1;0
2022-10-13T23:59:59+02:00;0;NoState;85+;Female;AstraZeneca;1;150
2022-10-13T23:59:59+02:00;0;NoState;85+;Male;AstraZeneca;1;102
